Date	User	Tweet
2018-09-27 23:00:15+00:00	CoinDesk	A closer look at @bitmaintech's crypto assets, courtesy of its IPO prospectus: https://t.co/4ZGIliJUxD https://t.co/8KwVLTXGhp
2018-09-27 22:30:17+00:00	CoinDesk	"Is there something fishy about a crypto exchange like @bitforexcom reporting similar volume to the London stock exchange? @business analyzes it in detail.

https://t.co/RbZJM7EqH8"
2018-09-27 21:42:14+00:00	CoinDesk	JUST IN: The SEC and CFTC are suing bitcoin derivatives trader 1pool and CEO Patrick Brunner for violating federal law with a security swap scheme. https://t.co/WdJB2toAr5
2018-09-27 19:50:02+00:00	CoinDesk	.@BITMAINtech may be diversifying its product lines ahead of its IPO, but it's mining hardware that pays the bills: https://t.co/4bc7k99r2Z https://t.co/iK35dhQNUS
2018-09-27 19:00:31+00:00	CoinDesk	JUST IN: Compound, a crypto money market, launched today on ethereum. Now hodlers can earn interest on their crypto. https://t.co/rHeQCQEZA0
2018-09-27 18:55:13+00:00	CoinDesk	Get a #job in the #blockchain industry by stopping by our #career center: https://t.co/erJKcyPa9G https://t.co/xQSkxrVEmU
2018-09-27 18:04:04+00:00	CoinDesk	The U.S. House of Representatives has reconsidered a proposed federal task force to investigate cryptocurrencies' use in financing acts of terror. https://t.co/h5Qwd5vHwO
2018-09-27 16:15:45+00:00	CoinDesk	Chinese search engine Baidu has published a new white paper outlining its upcoming XuperChain network. https://t.co/arls93xWz4
2018-09-27 15:45:21+00:00	CoinDesk	Subscribe to our daily #podcast, #LateConfirmation for all the latest #blockchainnews. https://t.co/7jxSo7CfqI
2018-09-27 15:16:36+00:00	CoinDesk	The world's largest telecoms firm, AT&amp;T, has launched a suite of blockchain services targeting diverse industries. https://t.co/dRNIyAo2OG
