	Date	User	Tweet
0	2022-04-21 20:05:59+00:00	Bloomberg	We are leading efforts to shape a sustainable future. And over the past year, we’ve made significant progress. Read our 2021 Impact Report, which outlines how we continue to address climate change and drive change on critical social issues. https://t.co/7IZPxgPtqN https://t.co/SYrw2sLdS2
1	2022-04-12 20:37:56+00:00	Bloomberg	Supporting local communities is at the heart of Bloomberg culture. Working with Hot Bread Kitchen, a nonprofit that creates economic opportunity through careers in food, our Marketing Creative Studio helped re-brand Fauzia’s, a family-owned small business. https://t.co/CAbkKKW5J1
2	2022-03-31 17:35:21+00:00	Bloomberg	This Transgender Day of Visibility, we celebrate the power of the Transgender community and recognize the work still needed to combat the discrimination they face worldwide. https://t.co/WgEj7L97pE #InclusionInAction #TransDayofVisbility https://t.co/KB4uGQbBkC
3	2022-03-24 17:34:16+00:00	Bloomberg	We provide our employees with global opportunities to hone their skills and expertise, develop their careers, and progress to new roles. Hear from some of our female leaders at Bloomberg as they share their career experiences: https://t.co/AoIO8ygYHE
4	2022-03-23 14:17:57+00:00	Bloomberg	Our engineers build &amp; manage systems that process 200 billion pieces of financial data a day – making each available to our customers in microseconds. Learn more: https://t.co/MXjYtgXhq2
5	2022-03-23 11:18:50+00:00	Bloomberg	We are proud to announce the launch of a new EU Women in Finance initiative to inspire the next generation of women to pursue and advance their careers in finance. Read more: https://t.co/yJlAh2kEgT
6	2022-03-22 18:29:06+00:00	Bloomberg	45% of women say their menopause symptoms negatively impact their work, and more than 50% of senior-level women say they're experiencing burnout. At Bloomberg, we're taking steps to remove the stigma surrounding menopause. Find out how: https://t.co/y5US5kCs59 https://t.co/EwT8BcnNdx
7	2022-03-18 14:32:15+00:00	Bloomberg	.@BBGconnects enables more people to learn about art from anywhere in the world. Find out how: https://t.co/gE1pVwBQmx https://t.co/hT2SaZgzKg
8	2022-03-16 17:56:54+00:00	Bloomberg	The @bbgconnects app is just one of the ways we’re working together with @BloombergDotOrg and our partners to increase access to the arts. Find out more: https://t.co/gE1pVwBQmx https://t.co/fhBf9EEZJx
9	2022-03-11 22:45:05+00:00	Bloomberg	Thanks to the generosity of Bloomberg employees across the globe, we are pleased to share that we have donated more than $1M to our non-profit partners supporting Ukraine through our company and employee giving efforts. https://t.co/9zpm8o0eJF
10	2022-03-08 15:00:00+00:00	Bloomberg	Did you know that women represent just 27% of managerial positions worldwide? This #InternationalWomensDay, we’re highlighting Bloomberg programs that are helping achieve workplace equity for women and the work that remains to be done. https://t.co/IKp9vDx6kz #InclusionInAction https://t.co/vHx56K4N5B
11	2022-03-08 13:44:04+00:00	Bloomberg	Our engineers build &amp; manage systems that process 200 billion pieces of financial data a day – making each available to our customers in microseconds. Learn more: https://t.co/GXhk6sYowL https://t.co/KSVlq5IC1V
12	2022-03-07 22:29:18+00:00	Bloomberg	We're happy to announce that our Princeton campus is now powered by 100% on-site renewable energy. This achievement comes after the expansion of our on-site 1.8MV solar installation, more than doubling our capacity with an additional 2.55MV solar project. https://t.co/JOYTnJgwCW
13	2022-03-02 21:32:03+00:00	Bloomberg	When COVID-19 hit, there was no central resource to track the spread. So, we helped Johns Hopkins create one. Thanks to Beth Blauer and team, people are better able to respond to the pandemic worldwide. Find out how. https://t.co/OiucvTGGlJ https://t.co/g54WHiarck
14	2022-03-01 22:45:21+00:00	Bloomberg	"News coverage is better when we amplify the voices of underrepresented experts across platforms. Since 2018, Bloomberg's New Voices program has tripled the percentage of on-air female guests on Bloomberg TV.

To apply, visit https://t.co/BlnA2PYqgi #BloombergNewVoices https://t.co/6v726OL5kF"
